epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4515,0.77238,3.63402,0.97189,0.02181,0.4712,0.15381,0.14846,0.37002,3.35821,0.78449,0.000125,0.000125,0.000125
2,133.69,0.70612,2.42501,0.87943,0.98452,0.12337,0.26704,0.23282,0.56362,2.73622,0.80062,0.000249506,0.000249506,0.000249506
3,204.758,0.66781,1.4436,0.88663,0.89482,0.21922,0.30098,0.26032,0.59969,1.91587,0.80946,0.0003604,0.0003604,0.0003604
4,249.373,0.61991,1.18474,0.85105,0.70019,0.40899,0.38261,0.36478,0.48578,1.66052,0.80158,0.000457681,0.000457681,0.000457681
5,320.244,0.61376,1.17276,0.86006,0.74346,0.41874,0.41071,0.37878,0.56665,1.72709,0.81959,0.00054135,0.00054135,0.00054135
6,370.396,0.57624,1.02578,0.8539,0.76139,0.47666,0.41856,0.3804,0.49811,1.53614,0.80626,0.000611406,0.000611406,0.000611406
7,451.228,0.55973,1.02146,0.84037,0.74823,0.47457,0.3952,0.36231,0.441,1.26912,0.79277,0.00066785,0.00066785,0.00066785
8,510.309,0.57065,0.99885,0.8663,0.73956,0.48263,0.40267,0.36734,0.46965,1.1368,0.79187,0.000710681,0.000710681,0.000710681
9,579.898,0.54854,0.97775,0.84984,0.67054,0.54272,0.41859,0.38538,0.43098,0.92113,0.78651,0.0007399,0.0007399,0.0007399
10,637.913,0.53028,1.05211,0.84506,0.66848,0.55474,0.44044,0.40749,0.41242,0.87838,0.78601,0.000693125,0.000693125,0.000693125
11,703.33,0.52232,1.0858,0.82747,0.62675,0.61835,0.41761,0.38898,0.38731,0.91259,0.78234,0.00063125,0.00063125,0.00063125
12,740.442,0.51003,0.99655,0.84518,0.67379,0.42779,0.42556,0.39628,0.3543,1.07399,0.77675,0.000569375,0.000569375,0.000569375
13,780.101,0.48585,1.0204,0.82272,0.61218,0.51903,0.4231,0.38997,0.35916,0.9789,0.77316,0.0005075,0.0005075,0.0005075
14,822.499,0.47609,0.96025,0.82661,0.80703,0.33388,0.42522,0.39143,0.3666,0.90539,0.77381,0.000445625,0.000445625,0.000445625
15,867.312,0.45303,0.91261,0.80677,0.69692,0.60542,0.5034,0.46853,0.35844,0.83131,0.77861,0.00038375,0.00038375,0.00038375
16,915.123,0.44824,0.93885,0.82194,0.70816,0.59105,0.49301,0.46472,0.34585,0.83805,0.77979,0.000321875,0.000321875,0.000321875
17,980.382,0.44294,0.86698,0.81736,0.70556,0.59405,0.48585,0.47079,0.32886,0.82878,0.77708,0.00026,0.00026,0.00026
18,1022.95,0.43063,0.82808,0.82024,0.67572,0.59903,0.48158,0.46348,0.33082,0.82695,0.77435,0.000198125,0.000198125,0.000198125
19,1075.7,0.42547,0.83807,0.81422,0.69323,0.50314,0.48211,0.46477,0.33318,0.83207,0.77308,0.00013625,0.00013625,0.00013625
20,1131.22,0.42189,0.83117,0.81819,0.66742,0.55538,0.47675,0.45891,0.33201,0.82828,0.77222,7.4375e-05,7.4375e-05,7.4375e-05
